                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.2268,                 1.4575,                 1.6663,                0.41847,                0.40336,                0.32567,                0.13965,                 1.9989,                 2.7684,                 2.3894,               0.002674,               0.002674,               0.002674
                     76,                 1.2249,                 1.4549,                 1.6626,                0.38726,                0.40696,                0.32391,                0.13912,                  2.003,                 2.7778,                 2.3966,               0.002575,               0.002575,               0.002575
                     77,                 1.2214,                 1.4572,                 1.6702,                 0.4321,                 0.3745,                0.31997,                0.13723,                 2.0074,                 2.7706,                 2.4042,               0.002476,               0.002476,               0.002476
                     78,                 1.2109,                 1.4275,                 1.6585,                0.44085,                0.36495,                0.32325,                0.13848,                 2.0012,                 2.7258,                 2.4026,               0.002377,               0.002377,               0.002377
                     79,                 1.2134,                 1.4363,                 1.6528,                0.41424,                0.38175,                0.32278,                0.13837,                 2.0012,                 2.7587,                 2.4002,               0.002278,               0.002278,               0.002278
                     80,                    1.2,                 1.4177,                 1.6456,                0.42018,                0.38295,                0.32528,                0.14064,                 1.9945,                 2.7563,                 2.3973,               0.002179,               0.002179,               0.002179
                     81,                 1.2038,                 1.4238,                 1.6421,                0.46779,                0.35242,                0.32954,                0.13888,                  2.004,                 2.7764,                 2.4064,                0.00208,                0.00208,                0.00208
                     82,                 1.1896,                 1.4149,                 1.6399,                0.45242,                0.36855,                0.33348,                 0.1397,                 2.0154,                 2.7779,                 2.4205,               0.001981,               0.001981,               0.001981
                     83,                 1.1874,                 1.3971,                 1.6434,                0.45831,                0.36255,                 0.3349,                0.14152,                 2.0185,                  2.772,                 2.4202,               0.001882,               0.001882,               0.001882
                     84,                 1.1925,                 1.3825,                 1.6366,                0.44899,                0.37368,                0.33645,                0.14251,                 2.0118,                 2.7996,                 2.4155,               0.001783,               0.001783,               0.001783
                     85,                 1.1834,                 1.3924,                 1.6377,                0.41066,                0.40336,                0.33841,                0.14262,                 2.0149,                 2.7943,                 2.4173,               0.001684,               0.001684,               0.001684
                     86,                 1.1761,                 1.3752,                 1.6231,                0.41271,                0.40456,                0.33105,                0.14063,                 2.0256,                 2.8046,                 2.4349,               0.001585,               0.001585,               0.001585
                     87,                 1.1646,                 1.3748,                 1.6161,                0.41654,                0.40195,                0.32678,                0.13899,                 2.0334,                 2.7883,                 2.4446,               0.001486,               0.001486,               0.001486
                     88,                 1.1753,                 1.3704,                  1.623,                0.42757,                0.39496,                0.32683,                0.13907,                 2.0317,                  2.775,                 2.4432,               0.001387,               0.001387,               0.001387
                     89,                 1.1692,                 1.3438,                 1.6077,                0.42407,                0.40397,                0.32633,                0.13878,                 2.0295,                 2.7701,                 2.4394,               0.001288,               0.001288,               0.001288
                     90,                 1.3134,                 1.2958,                 1.6485,                0.42423,                0.39007,                0.32214,                0.13778,                 2.0296,                 2.7736,                 2.4341,               0.001189,               0.001189,               0.001189
                     91,                 1.2774,                 1.2465,                 1.6236,                 0.4075,                0.40216,                 0.3211,                0.13841,                 2.0317,                 2.7616,                  2.432,                0.00109,                0.00109,                0.00109
                     92,                 1.2691,                 1.2138,                 1.6145,                0.41721,                0.38896,                 0.3197,                0.13891,                 2.0258,                 2.7488,                 2.4252,               0.000991,               0.000991,               0.000991
                     93,                 1.2619,                 1.2093,                 1.5974,                0.44188,                0.36735,                0.32271,                0.13824,                  2.031,                 2.7649,                 2.4348,               0.000892,               0.000892,               0.000892
                     94,                 1.2614,                  1.196,                 1.6004,                0.44685,                0.37575,                0.32669,                 0.1392,                 2.0393,                 2.7799,                 2.4444,               0.000793,               0.000793,               0.000793
                     95,                 1.2471,                 1.1976,                 1.5908,                0.44121,                0.38655,                0.32443,                0.13741,                 2.0406,                 2.7911,                 2.4504,               0.000694,               0.000694,               0.000694
                     96,                 1.2435,                  1.186,                 1.5849,                0.43793,                0.38776,                0.32357,                0.13739,                 2.0436,                 2.7998,                 2.4598,               0.000595,               0.000595,               0.000595
